common_norm	common_display	scientific
akepa de oahu	Akepa de Oahu	Loxops wolstenholmei
akialoa de hawaii	Akialoa de Hawaii	Akialoa obscura
akialoa de kauai	Akialoa de Kauai	Akialoa stejnegeri
akialoa de lanai	Akialoa de Lanai	Akialoa lanaiensis
akialoa de maui nui	Akialoa de Maui Nui	Akialoa lanaiensis
akialoa de oahu	Akialoa de Oahu	Akialoa ellisiana
akialoa major	Akialoa Major	Akialoa ellisiana
akiapolaau	Akiapolaau	Hemignathus wilsoni
akikiki de hawai	Akikiki de Hawai	Loxops mana
akikiki de hawaii	Akikiki de Hawaii	Loxops mana
akikiki de kauai	Akikiki de Kauai	Oreomystis bairdi
akohekohe	Akohekohe	Palmeria dolei
ala de mosca	ala de mosca	Stellaria media
ala de sable verde	Ala de Sable Verde	Campylopterus ensipennis
alacha	Alacha	Sardinella aurita
alacrancillo	Alacrancillo	Heliotropium indicum
alalunga	Alalunga	Thunnus alalunga
alambolo	Alambolo	Merluccius merluccius
alamillo	Alamillo	Alnus oblongifolia
alamo blanco	Álamo blanco	Populus alba
alamo negro	Álamo negro	Populus nigra
alargiz	alargiz	Berberis vulgaris
alarguez	alarguez	Berberis vulgaris
alarguiz	alarguiz	Berberis vulgaris
alauahio de maui	Alauahio de Maui	Paroreomyza montana
alauahio de molokai	Alauahio de Molokai	Paroreomyza flammea
alauahio de oahu	Alauahio de Oahu	Paroreomyza maculata
alazor	alazor	Carthamus tinctorius
alazor canario	alazor canario	Carlina salicifolia
albacora	Albacora	Thunnus alalunga|Thunnus albacares|Thunnus atlanticus|Xiphias gladius
albahaca silvestre	albahaca silvestre	Galinsoga parviflora
albajaca silvestre	albajaca silvestre	Anagallis arvensis
albata	albata	Saponaria officinalis
albatros ahumado	Albatros ahumado	Phoebetria fusca
albatros cabecigris	Albatros cabecigrís	Thalassarche chrysostoma
albatros cabeza gris	Albatros cabeza gris	Thalassarche chrysostoma
albatros cauto	Albatros cauto	Thalassarche cauta
albatros ceja negra	Albatros ceja negra	Thalassarche melanophris
albatros clororrinco atlantico	Albatros clororrinco atlántico	Thalassarche chlororhynchos
albatros clororrinco pacifico	Albatros clororrinco pacífico	Thalassarche carteri
albatros colicorto	Albatros colicorto	Phoebastria albatrus
albatros de buller	Albatros de Buller	Thalassarche bulleri
albatros de la amsterdam	Albatros de la Amsterdam	Diomedea amsterdamensis
albatros de las antipodas	Albatros de las Antípodas	Diomedea antipodensis
albatros de las chatham	Albatros de las Chatham	Thalassarche eremita
albatros de laysan	Albatros de Laysan	Phoebastria immutabilis
albatros de salvin	Albatros de Salvin	Thalassarche salvini
albatros de tristan	Albatros de Tristán	Diomedea dabbenena
albatros de tristan de acuna	Albatros de Tristán de Acuña	Diomedea dabbenena
albatros del pacifico	Albatros del Pacífico	Thalassarche bulleri
albatros errante	Albatros errante	Diomedea exulans
albatros impavido	Albatros impávido	Thalassarche impavida
albatros ojeroso	Albatros ojeroso	Thalassarche melanophris
albatros oscuro	Albatros oscuro	Phoebetria fusca
albatros patinegro	Albatros patinegro	Phoebastria nigripes
albatros pico fino	Albatros pico fino	Thalassarche chlororhynchos
albatros real del norte	Albatros real del norte	Diomedea epomophora
albatros real meridional	Albatros real meridional	Diomedea epomophora
albatros real septentrional	Albatros real septentrional	Diomedea sanfordi
albatros tiznado	Albatros tiznado	Phoebetria palpebrata
albatros viajero	Albatros viajero	Diomedea exulans
alberjacas	alberjacas	Vicia cracca
alboeza	alboeza	Malva neglecta
albratros manto claro	Albratros manto claro	Phoebetria palpebrata
albur	Albur	Mugil cephalus
alca gigante	Alca gigante	Pinguinus impennis
alca unicornea	Alca unicórnea	Cerorhinca monocerata
alcachofa serrana	alcachofa serrana	Rhaponticum exaltatum
alcacia	alcacia	Robinia pseudoacacia
alcacias	alcacias	Robinia pseudoacacia
alcadicea	Alcadicea	Silene vulgaris
alcaparro	alcaparro	Capparis spinosa
alcaravan acuatico	Alcaraván acuático	Burhinus vermiculatus
alcaravan colilargo	Alcaraván colilargo	Burhinus grallarius
alcaravan de el cabo	Alcaraván de El Cabo	Burhinus capensis
alcaravan indio	Alcaraván indio	Burhinus indicus
alcaravan peruano	Alcaraván peruano	Burhinus superciliaris
alcaravan piquigrueso australiano	Alcaraván piquigrueso australiano	Esacus magnirostris
alcaravan piquigrueso indio	Alcaraván piquigrueso indio	Esacus recurvirostris
alcaravan senegales	Alcaraván senegalés	Burhinus senegalensis
alcaravan venezolano	Alcaraván venezolano	Burhinus bistriatus
alcasia	alcasia	Robinia pseudoacacia
alcatraz atlantico	Alcatraz atlántico	Morus bassanus
alcatraz australiano	Alcatraz australiano	Morus serrator
alcatraz de abbott	Alcatraz de Abbott	Papasula abbotti
alcatraz de el cabo	Alcatraz de El Cabo	Morus capensis
alcaudon americano	Alcaudón americano	Lanius ludovicianus
alcaudon birmano	Alcaudón birmano	Lanius collurioides
alcaudon boreal	Alcaudón boreal	Lanius borealis
alcaudon bucefalo	Alcaudón bucéfalo	Lanius bucephalus
alcaudon chino	Alcaudón chino	Lanius sphenocercus
alcaudon colilargo	Alcaudón colilargo	Lanius cabanisi
alcaudon colirrojo	Alcaudón colirrojo	Lanius phoenicuroides
alcaudon comun	Alcaudón común	Lanius senator
alcaudon coroniblanco	Alcaudón coroniblanco	Eurocephalus anguitimens
alcaudon culiblanco	Alcaudón culiblanco	Eurocephalus ruppelli
alcaudon de emin	Alcaudón de Emin	Lanius gubernator
alcaudon de los taita	Alcaudón de los Taita	Lanius dorsalis
alcaudon de mackinnon	Alcaudón de Mackinnon	Lanius mackinnoni
alcaudon de santo tome	Alcaudón de Santo Tomé	Lanius newtoni
alcaudon de souza	Alcaudón de Souza	Lanius souzae
alcaudon dorsicastano	Alcaudón dorsicastaño	Lanius vittatus
alcaudon dorsigris	Alcaudón dorsigrís	Lanius excubitoroides
alcaudon dorsirrojo	Alcaudón dorsirrojo	Lanius collurio
alcaudon filipino	Alcaudón filipino	Lanius validirostris
alcaudon fiscal	Alcaudón fiscal	Lanius collaris
alcaudon norteno	Alcaudón norteño	Lanius excubitor
alcaudon nubico	Alcaudón núbico	Lanius nubicus
alcaudon pardo	Alcaudón pardo	Lanius cristatus
alcaudon pio	Alcaudón pío	Urolestes melanoleucus
alcaudon piquigualdo	Alcaudón piquigualdo	Corvinella corvina
alcaudon real	Alcaudón real	Lanius meridionalis
alcaudon schach	Alcaudón schach	Lanius schach
alcaudon somali	Alcaudón somalí	Lanius somalicus
alcaudon tibetano	Alcaudón tibetano	Lanius tephronotus
alcaudon tigre	Alcaudón tigre	Lanius tigrinus
alcazia	alcazia	Robinia pseudoacacia
alcea rosea	Alcea rosea	Alcea rosea
alcefalo de lichtenstein	Alcéfalo de Lichtenstein	Alcelaphus lichtensteinii
alcion acollarado	Alción acollarado	Todiramphus chloris
alcion alipardo	Alción alipardo	Pelargopsis amauroptera
alcion bigotudo	Alción bigotudo	Actenoides bougainvillei
alcion bigotudo de la bougainville	Alción bigotudo de la Bougainville	Actenoides bougainvillei
alcion cabeciblanco	Alción cabeciblanco	Halcyon leucocephala
alcion cabecipardo	Alción cabecipardo	Halcyon albiventris
alcion capirotado	Alción capirotado	Halcyon pileata
alcion castano	Alción castaño	Halcyon badia
alcion colilargo cabecinegro	Alción colilargo cabecinegro	Tanysiptera nigriceps
alcion colilargo comun	Alción colilargo común	Tanysiptera galatea
alcion colilargo danae	Alción colilargo dánae	Tanysiptera danae
alcion colilargo de biak	Alción colilargo de Biak	Tanysiptera riedelii
alcion colilargo de kofiau	Alción colilargo de Kofiau	Tanysiptera ellioti
alcion colilargo de las aru	Alción colilargo de las Aru	Tanysiptera hydrocharis
alcion colilargo de numfor	Alción colilargo de Numfor	Tanysiptera carolinae
alcion colilargo ninfa	Alción colilargo ninfa	Tanysiptera nympha
alcion colilargo silvia	Alción colilargo silvia	Tanysiptera sylvia
alcion cuellirrojo	Alción cuellirrojo	Todiramphus winchelli
alcion culiblanco	Alción culiblanco	Caridonax fulgidus
alcion culirrojo	Alción culirrojo	Todiramphus pyrrhopygius
alcion de esmirna	Alción de Esmirna	Halcyon smyrnensis
alcion de guam	Alción de Guam	Todiramphus cinnamominus
alcion de java	Alción de Java	Halcyon cyanoventris
alcion de la niau	Alción de la Niau	Todiramphus gambieri
alcion de la sonda	Alción de la Sonda	Todiramphus australasia
alcion de las marquesas	Alción de las Marquesas	Todiramphus godeffroyi
alcion de las talaud	Alción de las Talaud	Todiramphus enigma
alcion de mangaia	Alción de Mangaia	Todiramphus ruficollaris
alcion de manglar	Alción de manglar	Halcyon senegaloides
alcion de mindanao	Alción de Mindanao	Actenoides hombroni
alcion de palau	Alción de Palau	Todiramphus pelewensis
alcion de pohnpei	Alción de Pohnpei	Todiramphus reichenbachii
alcion del macleay	Alción del Macleay	Todiramphus macleayii
alcion dorsiblanco	Alción dorsiblanco	Todiramphus albonotatus
alcion estriado	Alción estriado	Halcyon chelicuti
alcion lagartijero	Alción lagartijero	Todiramphus saurophagus
alcion lapislazuli	Alción lapislázuli	Todiramphus lazuli
alcion malayo	Alción malayo	Actenoides concretus
alcion moluqueno	Alción moluqueño	Todiramphus diops
alcion monje	Alción monje	Actenoides monachus
alcion montano	Alción montano	Syma megarhyncha
alcion moteado	Alción moteado	Actenoides lindsayi
alcion oscuro	Alción oscuro	Todiramphus nigrocyaneus
alcion pechiazul	Alción pechiazul	Halcyon malimbica
alcion picociguena	Alción picocigüeña	Pelargopsis capensis
alcion piquinegro	Alción piquinegro	Pelargopsis melanorhyncha
alcion piquiplano	Alción piquiplano	Todiramphus recurvirostris
alcion principe	Alción príncipe	Actenoides princeps
alcion real	Alción real	Actenoides princeps
alcion respetado	Alción respetado	Todiramphus tutus
alcion rojizo	Alción rojizo	Halcyon coromanda
alcion sagrado	Alción sagrado	Todiramphus sanctus
alcion sombrio	Alción sombrío	Todiramphus funebris
alcion torotoro	Alción torotoro	Syma torotoro
alcion ultramar	Alción ultramar	Todiramphus leucopygius
alcion venerado	Alción venerado	Todiramphus veneratus
alcion venerado de tahiti	Alción venerado de Tahití	Todiramphus veneratus
alcion ventrirrufo	Alción ventrirrufo	Todiramphus farquhari
alcornoque	Alcornoque	Quercus suber
alcotan africano	Alcotán africano	Falco cuvierii
alcotan australiano	Alcotán australiano	Falco longipennis
alcotan europeo	Alcotán europeo	Falco subbuteo
alcotan filipino	Alcotán filipino	Falco severus
alcotan turumti	Alcotán turumti	Falco chicquera
alcrique	Alcrique	Scomberesox saurus
alecrin	Alecrín	Holocalyx balansae
aleli cimarron	Aleli cimarron	Plumeria portoricensis
alelluya	alelluya	Oxalis acetosella
aleluja	aleluja	Oxalis acetosella
aleluya	aleluya	Oxalis acetosella
aleluya blanca	aleluya blanca	Oxalis acetosella
aleluya de europa	aleluya de Europa	Oxalis acetosella
aleluyas	aleluyas	Oxalis acetosella
aleluyos	aleluyos	Viburnum opulus
alepocefalo	Alepocefalo	Alepocephalus bairdii
alerce	alerce	Fitzroya|Tetraclinis articulata
aleta amarilla	Aleta Amarilla	Thunnus albacares
aleta azul del sur	Aleta Azul del Sur	Thunnus maccoyii
alete castano	Alete castaño	Alethe castanea
alete de cholo	Alete de Cholo	Chamaetylas choloensis|Pseudalethe choloensis
alete diademado	Alete diademado	Alethe diademata
alete gorgirrojo	Alete Gorgirrojo	Pseudalethe poliophrys
alete gorjirrojo	Alete gorjirrojo	Chamaetylas poliophrys
alete pechiblanco	Alete Pechiblanco	Chamaetylas fuelleborni|Pseudalethe fuelleborni
alete pechipardo	Alete Pechipardo	Chamaetylas poliocephala|Pseudalethe poliocephala
aleton	Aleton	Carcharhinus porosus
alexander himalajsky	alexander himalájsky	Psittacula himalayana
alfa rusa	alfa rusa	Melilotus albus
alfaces	alfaces	Valerianella locusta
alfajillo	Alfajillo	Podocarpus guatemalensis
alfal	alfal	Medicago sativa
alfalce	alfalce	Medicago sativa
alfalce bordo	alfalce bordo	Medicago sativa
alfalfa	alfalfa	Medicago lupulina|Medicago sativa
alfalfa arborea	Alfalfa Arborea	Medicago citrina
alfalfa brava	alfalfa brava	Medicago sativa
alfalfa lupulina	alfalfa lupulina	Medicago lupulina
alfalfa mansa	alfalfa mansa	Medicago sativa
alfalfa silvestre	alfalfa silvestre	Medicago sativa
alfalfe	alfalfe	Medicago sativa
alfalz	alfalz	Medicago sativa
alfance	alfance	Medicago sativa
alfange	alfange	Medicago sativa
alfarfa	alfarfa	Medicago sativa
alfarroba	Alfarroba	Aeonium balsamiferum
alfas	alfás	Medicago sativa
alfauce	alfauce	Medicago sativa
alfaz	alfaz	Medicago sativa
alfelitero	alfelitero	Erodium cicutarium
alfenique	Alfeñique	Centranthus ruber
alfiler	alfiler	Erodium cicutarium|Kajikia albida
alfiler de ciguena	alfiler de cigüeña	Erodium cicutarium
alfileres	alfileres	Erodium cicutarium
alfileres de ciguena	alfileres de cigüeña	Erodium cicutarium
alfileres de pastor	alfileres de pastor	Erodium cicutarium
alfilericos	alfilericos	Erodium cicutarium
alfilerillo	alfilerillo	Erodium cicutarium
alfilerillo comun	alfilerillo común	Erodium cicutarium
alfilerillo de pastor	alfilerillo de pastor	Erodium cicutarium
alfilerillo hembra	alfilerillo hembra	Erodium cicutarium
alfilerillos	alfilerillos	Erodium cicutarium
alfilerillos de los alayos	Alfilerillos de los Alayos	Erodium astragaloides
alfilerillos de sierra nevada	Alfilerillos de Sierra Nevada	Erodium rupicola
alfileritos	alfileritos	Erodium cicutarium
alfileron	alfilerón	Erodium cicutarium
alfilerones	alfilerones	Erodium cicutarium
alfileta	alfileta	Erodium cicutarium
alfileteros	alfileteros	Erodium cicutarium
alfinelera	alfinelera	Erodium cicutarium
alfombrera barbuda	Alfombrera Barbuda	Cirrhoscyllium expolitum
alfombrera de taiwan	Alfombrera de Taiwan	Cirrhoscyllium formosanum
alfombrera japonesa	Alfombrera Japonesa	Cirrhoscyllium japonicum
alfoncino	Alfoncino	Apogon imberbis
alfondiga	Alfondiga	Chelidonichthys lucerna
alfonsin a casta cumprida	Alfonsin a Casta Cumprida	Beryx splendens
alfonsin a casta larga	Alfonsin A Casta Larga	Beryx decadactylus
alfonsino	Alfonsino	Beryx decadactylus
alfonsino besugo	Alfonsino Besugo	Beryx splendens
alfonsino palometon	Alfonsino Palometón	Beryx decadactylus
alfonson	Alfonsón	Priacanthus arenatus
alforfon	Alforfón	Fagopyrum esculentum
algafiton de la aldea	Algafitón de La Aldea	Dendriopoterium pulidoi
algarroba chico	Algarroba Chico	Prosopis nigra
algarrobilla de monte	algarrobilla de monte	Vicia cracca
algarrobillo	Algarrobillo	Prosopis affinis
algarrobillo espinoso	Algarrobillo Espinoso	Prosopis abbreviata
algarrobo	algarrobo	Robinia pseudoacacia
algarrobo blanco	Algarrobo Blanco	Prosopis alba
algarrobo negro	algarrobo negro	Prosopis nigra
algas caroficeas o carales	Algas carofíceas o carales	Charophyceae
algodon	algodon	Gossypium hirsutum
algodon de darwin	Algodón de Darwin	Gossypium darwinii
algodoncillo	Algodoncillo	Astrophytum ornatum|Bauhinia picta|Gossypium darwinii
algodonera	Algodonera	Helichrysum gossypinum
algodonero	algodonero	Gossypium
algononcillo de mitra	Algononcillo de Mitra	Astrophytum myriostigma
alguacil	Alguacil	Bagre pinnimaculatus
alguese	alguese	Berberis vulgaris
alheli	alhelí	Viola odorata
alheli de cumbre	Alhelí de cumbre	Erysimum albescens
alheli silvestre	Alheli Silvestre	Lythrum tribracteatum
alho das vinhas	alho das vinhas	Allium vineale
alholva	alholva	Medicago sativa
alhucema rizada	Alhucema rizada	Lavandula dentata
aliaria	aliaria	Alliaria petiolata|Alyssum alyssoides
alicorto chico	Alicorto chico	Brachypteryx leucophris
alicorto chino	Alicorto chino	Brachypteryx sinensis
alicorto de celebes	Alicorto de Célebes	Heinrichia calligyna
alicorto de flores	Alicorto de Flores	Brachypteryx floris
alicorto de formosa	Alicorto de Formosa	Brachypteryx goodfellowi
alicorto de java	Alicorto de Java	Brachypteryx montana
alicorto de sumatra	Alicorto de Sumatra	Brachypteryx saturata
alicorto del himalaya	Alicorto del Himalaya	Brachypteryx cruralis
alicorto estrellado	Alicorto estrellado	Heteroxenicus stellatus
alicorto flanquirrufo	Alicorto Flanquirrufo	Myiomela major|Sholicola major
alicorto grande	Alicorto grande	Heinrichia calligyna
alicorto ventriblanco	Alicorto Ventriblanco	Myiomela albiventris|Sholicola albiventris
alicorto ventrirrufo	Alicorto ventrirrufo	Brachypteryx hyperythra
aligator de china	Aligator de China	Alligator sinensis
aligote	Aligote	Pagellus acarne|Pagellus bellottii
alilicucu grande	Alilicucú grande	Megascops atricapilla
alilicucu orejudo	Alilicucú orejudo	Megascops sanctaecatarinae
alilicucu yungueno	Alilicucú yungüeño	Megascops hoyi
alimoche comun	Alimoche común	Neophron percnopterus
alimoche sombrio	Alimoche sombrío	Necrosyrtes monachus
alise	Alise	Liza aurata
alisillo	Alisillo	Carpinus caroliniana|Carpinus tropicalis
alismataceas	alismatáceas	Alismataceae
aliso comun	Aliso común	Alnus glutinosa
alitan	Alitán	Scyliorhinus stellaris
alitan africano	Alitán Africano	Scyliorhinus cervigoni
alitan boa	Alitán Boa	Scyliorhinus boa
alitan de manchas amarillas	Alitán De Manchas Amarillas	Scyliorhinus capensis
alitan enano	Alitán Enano	Scyliorhinus torrei
alitan ensillado	Alitán Ensillado	Scyliorhinus hesperius
alitan mallero	Alitán Mallero	Scyliorhinus retifer
alitan pintarrajo	Alitán Pintarrajo	Scyliorhinus meadi
aljonje	Aljonje	Carlina gummifera
allacha	Allacha	Sardinella aurita
allnegra	Allnegra	Lutjanus buccanella
almacasusco	Almacasusco	Magnolia pugana
almanegra	Almanegra	Magnolia colombiana
almanegra coronada	Almanegra coronada	Magnolia coronata
almanegra de guatape	Almanegra de Guatape	Magnolia guatapensis
almanegra de las orquideas	Almanegra de Las Orquideas	Magnolia lenticellata
almanegra de los yariguies	Almanegra de Los Yariguies	Magnolia chimantensis
almanegra de tama	Almanegra de Tama	Magnolia cararensis
almanegra de uraba	Almanegra de Uraba	Magnolia katiorum
almanegra del calima	Almanegra del Calima	Magnolia calimaensis
almaro	almaro	Mentha aquatica
almeja china del cieno	almeja china del cieno	Sinanodonta woodiana
almenegra de ventanas	Almenegra de Ventanas	Magnolia polyhypsophylla
almez	almez	Celtis australis
almezerion bajo	almezerion bajo	Daphne cneorum
almierca	almierca	Medicago sativa
almiqui	Almiqui	Solenodon cubanus
almirante mexicano	Almirante Mexicano	Millerichthys robustus
almiron	almirón	Taraxacum officinale
almorana amarilla	Almorana Amarilla	Stenostomum lucidum
alon volador	Alón volador	Dactylopterus volitans
alondra acollarada	Alondra acollarada	Mirafra collaris
alondra alirroja	Alondra alirroja	Mirafra hypermetra
